user_id,signup_date,city,age
0,2023-03-31,Lahore,33.0
1,2025-02-12,Islamabad,22.0
2,2024-10-16,Quetta,31.0
3,2024-03-14,Multan,25.0
4,2024-03-09,Lahore,31.0
5,2025-05-08,Lahore,18.0
6,2023-03-27,Quetta,23.0
7,2024-11-28,Quetta,46.0
8,2023-07-21,Karachi,40.0
9,2023-04-05,Islamabad,45.0
10,2024-06-10,Karachi,45.0
11,2025-09-02,Karachi,39.0
12,2025-01-05,Lahore,29.0
13,2025-01-31,Lahore,24.0
14,2024-12-18,Lahore,43.0
15,2025-02-25,Multan,34.0
16,2024-05-28,Lahore,55.0
17,2023-05-09,Lahore,30.0
18,2025-04-19,Karachi,51.0
19,2024-03-26,Lahore,32.0
20,2024-05-15,Lahore,45.0
21,2024-01-06,Karachi,48.0
22,2023-07-02,Karachi,24.0
23,2025-07-15,Islamabad,29.0
24,2025-02-20,Multan,24.0
25,2024-10-05,Lahore,22.0
26,2024-02-07,Multan,39.0
27,2025-04-02,Multan,31.0
28,2024-06-29,Multan,33.0
29,2024-03-19,Islamabad,38.0
30,2024-03-26,Islamabad,18.0
31,2023-08-16,Islamabad,45.0
32,2023-04-03,Islamabad,30.0
33,2024-07-08,Lahore,38.0
34,2025-06-06,Quetta,39.0
35,2023-03-05,Karachi,45.0
36,2025-05-08,Islamabad,32.0
37,2025-04-07,Karachi,18.0
38,2023-10-04,Lahore,34.0
39,2024-09-23,Karachi,35.0
40,2023-06-15,Karachi,24.0
41,2025-01-28,Karachi,34.0
42,2024-12-01,Karachi,30.0
43,2023-12-21,Lahore,21.0
44,2023-03-09,Karachi,39.0
45,2025-08-28,Karachi,28.0
46,2024-03-21,Quetta,29.0
47,2025-06-12,Lahore,29.0
48,2024-11-08,Karachi,44.0
49,2025-02-17,Lahore,33.0
50,2025-01-29,Karachi,34.0
51,2023-07-14,Karachi,29.0
52,2023-12-30,Islamabad,37.0
53,2024-04-11,Quetta,45.0
54,2024-05-12,Lahore,39.0
55,2023-02-13,Islamabad,39.0
56,2024-06-30,Lahore,38.0
57,2023-06-04,Lahore,21.0
58,2025-01-13,Karachi,25.0
59,2024-11-14,Lahore,31.0
60,2025-07-11,Islamabad,26.0
61,2025-01-14,Islamabad,23.0
62,2024-01-02,Islamabad,18.0
63,2025-08-25,Karachi,21.0
64,2024-02-15,Islamabad,31.0
65,2023-11-22,Karachi,32.0
66,2025-06-24,Lahore,26.0
67,2024-01-06,Lahore,34.0
68,2023-03-18,Islamabad,29.0
69,2024-04-14,Quetta,43.0
70,2025-03-06,Lahore,32.0
71,2023-07-09,Karachi,39.0
72,2024-04-07,Islamabad,35.0
73,2023-05-10,Multan,20.0
74,2024-11-17,Karachi,32.0
75,2024-04-20,Islamabad,22.0
76,2023-11-27,Islamabad,32.0
77,2023-08-15,Multan,26.0
78,2024-07-18,Lahore,36.0
79,2024-10-31,Quetta,21.0
80,2025-07-29,Lahore,33.0
81,2024-03-13,Multan,38.0
82,2023-06-10,Lahore,41.0
83,2025-04-12,Lahore,26.0
84,2024-09-21,Lahore,33.0
85,2024-12-01,Karachi,35.0
86,2023-04-08,Karachi,47.0
87,2023-11-09,Lahore,20.0
88,2025-02-06,Karachi,25.0
89,2025-04-12,Karachi,58.0
90,2024-03-11,Islamabad,31.0
91,2025-03-15,Multan,18.0
92,2025-04-21,Islamabad,28.0
93,2024-01-23,Lahore,18.0
94,2025-06-17,Lahore,35.0
95,2023-10-16,Multan,40.0
96,2023-08-28,Lahore,25.0
97,2024-11-13,Karachi,29.0
98,2024-09-28,Quetta,41.0
99,2023-05-20,Quetta,18.0
100,2025-04-12,Karachi,21.0
101,2023-07-19,Islamabad,31.0
102,2025-03-15,Karachi,26.0
103,2023-01-08,Islamabad,30.0
104,2025-03-07,Lahore,22.0
105,2025-02-25,Lahore,35.0
106,2025-02-19,Islamabad,32.0
107,2024-10-26,Lahore,38.0
108,2024-04-16,Islamabad,35.0
109,2024-12-06,Karachi,35.0
110,2023-10-05,Multan,20.0
111,2025-02-19,Multan,37.0
112,2024-07-09,Karachi,30.0
113,2024-04-03,Islamabad,32.0
114,2024-05-20,Lahore,42.0
115,2024-07-22,Karachi,27.0
116,2023-02-07,Lahore,45.0
117,2023-05-20,Multan,46.0
118,2023-09-03,Multan,40.0
119,2023-04-25,Multan,24.0
120,2024-03-15,Multan,18.0
121,2024-10-30,Quetta,43.0
122,2024-10-16,Lahore,34.0
123,2024-04-16,Quetta,26.0
124,2025-05-05,Karachi,44.0
125,2024-07-19,Karachi,25.0
126,2023-03-21,Karachi,29.0
127,2025-02-03,Karachi,38.0
128,2024-07-28,Lahore,23.0
129,2024-09-26,Lahore,32.0
130,2024-07-19,Lahore,43.0
131,2024-07-07,Karachi,35.0
132,2023-04-01,Multan,44.0
133,2024-07-13,Islamabad,43.0
134,2025-03-05,Karachi,33.0
135,2023-10-31,Karachi,18.0
136,2024-08-25,Karachi,23.0
137,2023-01-31,Lahore,40.0
138,2023-12-14,Multan,19.0
139,2024-03-12,Lahore,30.0
140,2025-09-09,Islamabad,36.0
141,2023-08-03,Islamabad,46.0
142,2023-10-04,Karachi,28.0
143,2024-02-13,Multan,27.0
144,2025-09-19,Lahore,33.0
145,2025-05-03,Multan,36.0
146,2023-02-04,Islamabad,32.0
147,2023-08-22,Islamabad,42.0
148,2025-04-01,Islamabad,26.0
149,2023-02-28,Multan,34.0
150,2025-05-05,Quetta,37.0
151,2023-10-09,Karachi,29.0
152,2025-07-06,Multan,41.0
153,2023-10-21,Islamabad,34.0
154,2024-03-10,Karachi,40.0
155,2024-10-23,Quetta,35.0
156,2023-05-07,Karachi,36.0
157,2024-07-11,Karachi,27.0
158,2024-05-20,Lahore,27.0
159,2025-02-22,Lahore,44.0
160,2025-09-23,Multan,39.0
161,2024-10-26,Karachi,24.0
162,2024-02-14,Karachi,35.0
163,2024-02-11,Lahore,18.0
164,2024-02-22,Karachi,28.0
165,2025-03-25,Multan,42.0
166,2023-11-18,Multan,32.0
167,2023-06-16,Lahore,34.0
168,2023-12-01,Karachi,18.0
169,2023-01-23,Karachi,29.0
170,2023-04-17,Islamabad,36.0
171,2023-04-01,Karachi,37.0
172,2025-02-10,Karachi,42.0
173,2024-12-23,Karachi,31.0
174,2024-11-27,Karachi,32.0
175,2024-04-06,Karachi,21.0
176,2024-12-18,Karachi,31.0
177,2023-06-11,Multan,22.0
178,2025-06-19,Islamabad,18.0
179,2024-05-16,Karachi,23.0
180,2025-07-27,Multan,47.0
181,2023-06-02,Multan,31.0
182,2024-05-12,Lahore,35.0
183,2024-11-27,Karachi,28.0
184,2024-05-10,Lahore,18.0
185,2024-03-22,Islamabad,41.0
186,2023-06-16,Lahore,18.0
187,2024-01-17,Islamabad,28.0
188,2023-08-27,Lahore,33.0
189,2023-10-29,Karachi,35.0
190,2024-11-14,Quetta,26.0
191,2024-09-22,Karachi,18.0
192,2024-08-30,Multan,26.0
193,2023-12-28,Quetta,26.0
194,2025-08-17,Multan,26.0
195,2023-03-29,Lahore,42.0
196,2023-12-09,Multan,22.0
197,2023-04-29,Lahore,36.0
198,2023-12-05,Karachi,34.0
199,2025-08-19,Multan,42.0
200,2024-01-02,Islamabad,32.0
201,2025-06-27,Karachi,40.0
202,2024-05-10,Karachi,31.0
203,2024-11-30,Multan,37.0
204,2024-04-02,Islamabad,19.0
205,2023-09-23,Karachi,18.0
206,2025-02-03,Multan,36.0
207,2025-08-27,Lahore,37.0
208,2023-09-21,Lahore,37.0
209,2025-02-17,Islamabad,28.0
210,2023-09-19,Quetta,46.0
211,2024-12-17,Lahore,29.0
212,2025-02-28,Lahore,37.0
213,2024-03-25,Lahore,38.0
214,2025-01-06,Multan,48.0
215,2023-09-30,Lahore,30.0
216,2023-03-21,Karachi,27.0
217,2023-04-07,Quetta,20.0
218,2024-03-23,Lahore,47.0
219,2025-06-21,Karachi,37.0
220,2023-05-08,Karachi,37.0
221,2024-03-31,Multan,61.0
222,2024-12-05,Karachi,36.0
223,2023-07-22,Karachi,21.0
224,2024-12-22,Lahore,31.0
225,2023-11-02,Islamabad,24.0
226,2025-03-19,Islamabad,29.0
227,2024-08-02,Lahore,29.0
228,2024-06-30,Karachi,28.0
229,2023-06-26,Multan,20.0
230,2024-04-08,Lahore,47.0
231,2025-05-06,Lahore,36.0
232,2023-01-20,Karachi,31.0
233,2025-01-28,Karachi,40.0
234,2024-05-07,Lahore,37.0
