order_id,user_id,weight_kg,distance_km,express_flag,quantity,price,shipping_cost,order_date
0,4647,1.23,303.0,False,3,3823.0,222.0,2024-02-02
1,3774,1.54,68.0,False,1,3539.0,119.0,2024-10-09
2,2876,2.27,216.0,False,3,18507.0,171.0,2024-08-26
3,3155,5.26,354.0,False,5,5797.0,218.0,2024-06-09
4,2066,3.57,92.0,True,2,1004.0,203.0,2024-06-07
5,4525,0.88,133.0,False,1,2377.0,117.0,2024-11-09
6,781,8.17,78.0,False,1,4344.0,59.0,2024-02-01
7,1569,8.59,94.0,True,3,3800.0,196.0,2024-09-11
8,1002,6.31,39.0,False,4,1510.0,122.0,2024-03-14
9,4240,5.12,81.0,False,2,6602.0,68.0,2024-02-04
10,2700,1.67,89.0,False,3,4380.0,100.0,2024-07-11
11,3418,10.74,337.0,False,2,1329.0,214.0,2024-12-22
12,4597,3.06,94.0,False,3,4732.0,133.0,2024-09-25
13,977,0.32,279.0,False,4,3811.0,160.0,2024-10-04
14,4822,2.14,91.0,False,1,914.0,118.0,2024-09-18
15,632,3.41,132.0,False,3,19036.0,96.0,2024-10-13
16,3771,4.77,173.0,False,4,5631.0,102.0,2024-07-06
17,3513,4.24,220.0,False,1,5234.0,188.0,2024-02-16
18,4127,3.46,49.0,False,3,2994.0,75.0,2024-11-02
19,792,4.09,89.0,False,2,5683.0,118.0,2024-06-13
20,4799,4.12,247.0,True,3,772.0,313.0,2024-07-01
21,3971,1.79,111.0,False,2,12584.0,119.0,2024-05-15
22,553,9.89,291.0,False,1,1695.0,198.0,2024-03-07
23,2785,6.36,142.0,False,4,3589.0,118.0,2024-12-04
24,4086,2.78,341.0,False,1,2636.0,234.0,2024-10-12
25,2384,4.86,449.0,False,5,7942.0,314.0,2024-08-23
26,1904,3.8,350.0,False,1,2926.0,223.0,2024-05-26
27,1377,7.81,168.0,True,2,4759.0,239.0,2024-10-27
28,2579,10.89,122.0,False,4,11762.0,126.0,2024-07-18
29,4919,2.28,176.0,False,2,4893.0,86.0,2024-06-10
30,3037,1.45,74.0,False,5,4169.0,44.0,2024-06-13
31,3610,7.47,353.0,False,2,5236.0,235.0,2024-03-23
32,3898,6.63,61.0,True,4,22142.0,193.0,2024-02-03
33,3890,1.21,167.0,True,4,15779.0,247.0,2024-07-21
34,2002,3.55,373.0,False,5,14223.0,275.0,2024-11-20
35,3843,4.86,192.0,False,3,7722.0,165.0,2024-01-24
36,1640,4.71,98.0,False,1,957.0,113.0,2024-11-09
37,2920,0.81,144.0,False,3,8574.0,172.0,2024-10-29
38,1512,2.39,143.0,False,2,9497.0,143.0,2024-04-11
39,4698,6.73,159.0,True,2,7953.0,215.0,2024-08-18
40,3650,3.68,272.0,False,3,9040.0,179.0,2024-03-01
41,2919,6.21,235.0,False,4,12175.0,208.0,2024-10-03
42,2257,1.43,49.0,True,3,13168.0,133.0,2024-09-12
43,2600,0.94,270.0,False,5,6562.0,191.0,2024-05-09
44,3899,2.56,103.0,False,4,5184.0,84.0,2024-01-25
45,1368,3.19,44.0,False,2,2152.0,68.0,2024-12-20
46,4142,5.04,243.0,False,1,5268.0,185.0,2024-06-11
47,1408,2.54,204.0,True,1,2446.0,273.0,2024-11-21
48,708,3.26,56.0,False,1,506.0,105.0,2024-09-04
49,3684,0.81,129.0,False,3,10577.0,81.0,2024-10-11
50,3541,1.26,116.0,False,4,14063.0,141.0,2024-10-04
51,1673,3.96,93.0,False,3,4342.0,134.0,2024-03-12
52,3243,6.22,173.0,False,4,2180.0,141.0,2024-05-12
53,3643,6.39,213.0,True,3,7876.0,274.0,2024-06-19
54,3939,0.3,198.0,False,2,2090.0,131.0,2024-06-30
55,4763,0.99,130.0,False,5,11314.0,71.0,2024-01-16
56,4271,3.15,117.0,True,2,3974.0,138.0,2024-07-18
57,2196,1.09,408.0,False,4,8286.0,262.0,2024-02-26
58,1151,0.99,247.0,False,5,26109.0,201.0,2024-09-28
59,486,0.83,73.0,False,3,7062.0,63.0,2024-09-06
60,2869,10.5,75.0,True,2,5397.0,220.0,2024-12-02
61,3332,0.66,157.0,False,3,2003.0,124.0,2024-09-28
62,3454,2.16,155.0,False,2,3530.0,138.0,2024-05-13
63,47,3.16,277.0,True,3,7931.0,290.0,2024-12-19
64,3506,4.17,178.0,True,1,2477.0,264.0,2024-05-29
65,3935,0.47,130.0,False,3,11101.0,128.0,2024-04-28
66,3608,6.86,172.0,False,1,2972.0,139.0,2024-11-26
67,2628,2.56,196.0,False,2,8485.0,182.0,2024-05-15
68,75,1.24,239.0,False,4,6467.0,187.0,2024-01-28
69,2448,1.54,143.0,True,5,11075.0,244.0,2024-06-20
70,3223,4.47,209.0,False,1,3140.0,170.0,2024-10-17
71,2847,6.13,57.0,False,4,8468.0,94.0,2024-03-10
72,2872,6.65,129.0,False,1,854.0,142.0,2024-06-17
73,2582,5.22,114.0,False,1,2846.0,134.0,2024-02-17
74,2760,1.75,164.0,False,5,15741.0,152.0,2024-09-07
75,1618,5.17,92.0,False,5,12372.0,101.0,2024-06-22
76,3024,1.63,163.0,False,3,10676.0,171.0,2024-04-30
77,1407,2.7,173.0,True,2,5849.0,233.0,2024-03-23
78,2457,11.12,90.0,False,3,6696.0,98.0,2024-07-25
