user_id,signup_date,city,age,spend,frequency,recency,avg_order_value,Cluster
0,2023-03-31,Lahore,33.0,93469.0,13.0,9.0,7189.923076923077,0
1,2025-02-12,Islamabad,22.0,10281.0,5.0,88.0,2056.2,1
2,2024-10-16,Quetta,31.0,62810.0,11.0,98.0,5710.0,0
3,2024-03-14,Multan,25.0,42328.0,7.0,20.0,6046.857142857143,1
4,2024-03-09,Lahore,31.0,49045.0,6.0,74.0,8174.166666666667,1
5,2025-05-08,Lahore,18.0,76914.0,8.0,49.0,9614.25,0
6,2023-03-27,Quetta,23.0,114581.0,14.0,6.0,8184.357142857143,0
7,2024-11-28,Quetta,46.0,45262.0,10.0,17.0,4526.2,1
8,2023-07-21,Karachi,40.0,27525.0,5.0,69.0,5505.0,1
9,2023-04-05,Islamabad,45.0,35287.0,6.0,116.0,5881.166666666667,1
10,2024-06-10,Karachi,45.0,46209.0,7.0,20.0,6601.285714285715,1
11,2025-09-02,Karachi,39.0,50476.0,9.0,0.0,5608.444444444444,1
12,2025-01-05,Lahore,29.0,50615.0,7.0,7.0,7230.714285714285,1
13,2025-01-31,Lahore,24.0,38871.0,7.0,5.0,5553.0,1
14,2024-12-18,Lahore,43.0,17153.0,6.0,62.0,2858.833333333333,1
15,2025-02-25,Multan,34.0,129549.0,14.0,39.0,9253.5,0
16,2024-05-28,Lahore,55.0,40490.0,5.0,41.0,8098.0,1
17,2023-05-09,Lahore,30.0,64054.0,9.0,12.0,7117.111111111111,0
18,2025-04-19,Karachi,51.0,68544.0,9.0,30.0,7616.0,0
19,2024-03-26,Lahore,32.0,65378.0,12.0,34.0,5448.166666666667,0
20,2024-05-15,Lahore,45.0,60504.0,10.0,21.0,6050.4,0
21,2024-01-06,Karachi,48.0,92520.0,11.0,12.0,8410.90909090909,0
22,2023-07-02,Karachi,24.0,21697.0,6.0,21.0,3616.1666666666665,1
23,2025-07-15,Islamabad,29.0,2730.0,1.0,202.0,2730.0,1
24,2025-02-20,Multan,24.0,47552.0,7.0,8.0,6793.142857142857,1
25,2024-10-05,Lahore,22.0,70366.0,10.0,24.0,7036.6,0
26,2024-02-07,Multan,39.0,32925.0,5.0,19.0,6585.0,1
27,2025-04-02,Multan,31.0,28521.0,7.0,115.0,4074.428571428572,1
28,2024-06-29,Multan,33.0,76402.0,12.0,38.0,6366.833333333333,0
29,2024-03-19,Islamabad,38.0,104077.0,10.0,13.0,10407.7,0
30,2024-03-26,Islamabad,18.0,90236.0,10.0,20.0,9023.6,0
31,2023-08-16,Islamabad,45.0,67530.0,12.0,2.0,5627.5,0
32,2023-04-03,Islamabad,30.0,10203.0,5.0,57.0,2040.6,1
33,2024-07-08,Lahore,38.0,70066.0,10.0,56.0,7006.6,0
34,2025-06-06,Quetta,39.0,46433.0,8.0,25.0,5804.125,1
